"Byrne, Robert E",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Byrne, Robert E",0
"Fischer, Robert James",0,"Addison, William",0
"Fischer, Robert James",0,"Addison, William",0
"Pitschak, Rudolf",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Pitschak, Rudolf",0
"Fischer, Robert James",0,"Rinaldo, J.",0
"Fischer, Robert James",0,"Rinaldo, J.",0
"Fischer, Robert James",0,"Shipman, Walter",0
"Shipman, Walter",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Stephans, E.",0
"Fischer, Robert James",0,"Stephans, E.",0
"Fischer, Robert James",0,"Witte, V.",0
"Fischer, Robert James",0,"Witte, V.",0
"Fischer, Robert James",0,"Garais, I.",0
"Fischer, Robert James",0,"Garais, I.",0
"Avram, Herbert Mois",0,"Fischer, Robert James",0
"Avram, Herbert Mois",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Saidy, Anthony Fred",0
"Saidy, Anthony Fred",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Goldsmith, J.",0
"Fischer, Robert James",0,"Goldsmith, J.",0
"Santasiere, Anthony Edward",0,"Fischer, Robert James",0
"Santasiere, Anthony Edward",0,"Fischer, Robert James",0
"Feuerstein, Arthur William",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Feuerstein, Arthur William",0
"Fischer, Robert James",0,"Hurttlen, N.",0
"Fischer, Robert James",0,"Hurttlen, N.",0
"Matulovic, Milan",0,"Fischer, Robert James",0
"Matulovic, Milan",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Janosevic, Dragoljub",0
"Janosevic, Dragoljub",0,"Fischer, Robert James",0
"Janosevic, Dragoljub",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Janosevic, Dragoljub",0
"Lombardy, William James",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Lombardy, William James",0
"Fischer, Robert James",0,"Kalme, G.",0
"Fischer, Robert James",0,"Kalme, G.",0
"Fischer, Robert James",0,"Sherwin, James T",0
"Fischer, Robert James",0,"Sherwin, James T",0
"Fischer, Robert James",0,"Weinstein, Raymond Allen",0
"Fischer, Robert James",0,"Weinstein, Raymond Allen",0
"Benko, Pal C",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Benko, Pal C",0
"Fischer, Robert James",0,"Reshevsky, Samuel Herman",0
"Fischer, Robert James",0,"Reshevsky, Samuel Herman",0
"Byrne, Donald",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Byrne, Donald",0
"Fischer, Robert James",0,"Evans, Larry Melvyn",0
"Evans, Larry Melvyn",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Mednis, Edmar John",0
"Fischer, Robert James",0,"Mednis, Edmar John",0
"Fischer, Robert James",0,"Bisguier, Arthur Bernard",0
"Fischer, Robert James",0,"Bisguier, Arthur Bernard",0
"Byrne, Robert E",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Byrne, Robert E",0
"Fischer, Robert James",0,"Neikirkh, Oleg",0
"Neikirkh, Oleg",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Fuster, Geza",0
"Fischer, Robert James",0,"Fuster, Geza",0
"Fischer, Robert James",0,"Rossetto, Hector",0
"Rossetto, Hector",0,"Fischer, Robert James",0
"Benko, Pal C",0,"Fischer, Robert James",0
"Benko, Pal C",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Bronstein, David I",0
"Bronstein, David I",0,"Fischer, Robert James",0
"Averbakh, Yuri L",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Averbakh, Yuri L",0
"Fischer, Robert James",0,"Larsen, Bent",0
"Fischer, Robert James",0,"Larsen, Bent",0
"Fischer, Robert James",0,"Sanguineti, Raul",0
"Fischer, Robert James",0,"Sanguineti, Raul",0
"Fischer, Robert James",0,"Panno, Oscar",0
"Panno, Oscar",0,"Fischer, Robert James",0
"Olafsson, Fridrik",0,"Fischer, Robert James",0
"Olafsson, Fridrik",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Tal, Mihail",0
"Tal, Mihail",0,"Fischer, Robert James",0
"Petrosian, Tigran V",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Petrosian, Tigran V",0
"Fischer, Robert James",0,"Sherwin, James T",0
"Fischer, Robert James",0,"Sherwin, James T",0
"Fischer, Robert James",0,"De Greiff, Boris",0
"Fischer, Robert James",0,"De Greiff, Boris",0
"Fischer, Robert James",0,"Szabo, Laszlo",0
"Szabo, Laszlo",0,"Fischer, Robert James",0
"Pachman, Ludek",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Pachman, Ludek",0
"Fischer, Robert James",0,"Matanovic, Aleksandar",0
"Matanovic, Aleksandar",0,"Fischer, Robert James",0
"Filip, Miroslav",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Filip, Miroslav",0
"Fischer, Robert James",0,"Cardoso, Radolfo Tan",0
"Fischer, Robert James",0,"Cardoso, Radolfo Tan",0
"Gligoric, Svetozar",0,"Fischer, Robert James",0
"Fischer, Robert James",0,"Gligoric, Svetozar",0
"Fischer, Robert James",0,"Keres, Paul",0
